Wavelength_nm;Hydrogen (H);Mercury (Hg);Sodium (Na);Neon (Ne);Argon (Ar);Helium (He);Krypton (Kr);Xenon (Xe);Cadmium (Cd);Neon-Argon Mix;Fluorescent 2-band;Fluorescent 3-band;Fluorescent 4-band;LED Violet;LED Blue;LED Cyan;LED Green;LED Yellow;LED Amber;LED Orange;LED Red;LED White Warm;LED White Neutral;LED White Cool;Solar AM1.5G;Incandescent 2700K;Tungsten 2856K (Illuminant A);Halogen 3000K;Halogen 3200K;Cadmium-Mercury (Cd/Hg);Mercury-Argon (Hg/Ar);Mercury-Neon (Hg/Ne);Neon-Argon (Ne/Ar);Argon-Krypton (Ar/Kr);Mercury-Cadmium-Argon (Hg/Cd/Ar);Mercury-Neon-Argon (Hg/Ne/Ar)
320.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6e-06;1e-06;0.0;0.56368;0.003587;0.006719;0.011176;0.020629;0.0;0.0;0.0;0.0;0.0;0.0;0.0
321.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7e-06;1e-06;0.0;0.566119;0.003652;0.006832;0.011351;0.020921;0.0;0.0;0.0;0.0;0.0;0.0;0.0
321.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7e-06;1e-06;0.0;0.568554;0.003719;0.006946;0.011527;0.021216;0.0;0.0;0.0;0.0;0.0;0.0;0.0
322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7e-06;1e-06;0.0;0.570985;0.003786;0.007063;0.011706;0.021515;0.0;0.0;0.0;0.0;0.0;0.0;0.0
322.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;1e-06;0.0;0.573413;0.003854;0.00718;0.011887;0.021816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
323.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;1e-06;0.0;0.575836;0.003924;0.007299;0.012071;0.02212;0.0;0.0;0.0;0.0;0.0;0.0;0.0
323.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8e-06;1e-06;0.0;0.578255;0.003994;0.00742;0.012256;0.022427;0.0;0.0;0.0;0.0;0.0;0.0;0.0
324.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9e-06;1e-06;0.0;0.580669;0.004066;0.007542;0.012443;0.022737;0.0;0.0;0.0;0.0;0.0;0.0;0.0
324.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9e-06;1e-06;0.0;0.58308;0.004138;0.007665;0.012632;0.02305;0.0;0.0;0.0;0.0;0.0;0.0;0.0
325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-05;1e-06;0.0;0.585486;0.004211;0.007791;0.012824;0.023367;0.0;0.0;0.0;0.0;0.0;0.0;0.0
325.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-05;2e-06;0.0;0.587887;0.004286;0.007917;0.013018;0.023686;0.0;0.0;0.0;0.0;0.0;0.0;0.0
326.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1e-05;2e-06;0.0;0.590285;0.004361;0.008046;0.013213;0.024008;0.0;0.0;0.0;0.0;0.0;0.0;0.0
326.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1e-05;2e-06;0.0;0.592677;0.004438;0.008175;0.013411;0.024334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
327.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2e-05;2e-06;0.0;0.595065;0.004515;0.008307;0.013612;0.024662;0.0;0.0;0.0;0.0;0.0;0.0;0.0
327.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2e-05;2e-06;0.0;0.597449;0.004594;0.00844;0.013814;0.024994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
328.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3e-05;2e-06;0.0;0.599827;0.004673;0.008575;0.014019;0.025329;0.0;0.0;0.0;0.0;0.0;0.0;0.0
328.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3e-05;2e-06;0.0;0.602201;0.004754;0.008711;0.014226;0.025667;0.0;0.0;0.0;0.0;0.0;0.0;0.0
329.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4e-05;2e-06;0.0;0.60457;0.004836;0.008849;0.014435;0.026008;0.0;0.0;0.0;0.0;0.0;0.0;0.0
329.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5e-05;3e-06;0.0;0.606934;0.004919;0.008988;0.014646;0.026353;0.0;0.0;0.0;0.0;0.0;0.0;0.0
330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5e-05;3e-06;0.0;0.609294;0.005003;0.00913;0.01486;0.0267;0.0;0.0;0.0;0.0;0.0;0.0;0.0
330.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6e-05;3e-06;0.0;0.611648;0.005088;0.009273;0.015076;0.027051;0.0;0.0;0.0;0.0;0.0;0.0;0.0
331.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7e-05;3e-06;0.0;0.613997;0.005174;0.009417;0.015294;0.027405;0.0;0.0;0.0;0.0;0.0;0.0;0.0
331.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8e-05;3e-06;0.0;0.616341;0.005261;0.009564;0.015514;0.027762;0.0;0.0;0.0;0.0;0.0;0.0;0.0
332.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8e-05;3e-06;0.0;0.61868;0.00535;0.009712;0.015737;0.028123;0.0;0.0;0.0;0.0;0.0;0.0;0.0
332.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9e-05;4e-06;0.0;0.621014;0.00544;0.009861;0.015962;0.028486;0.0;0.0;0.0;0.0;0.0;0.0;0.0
333.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2e-05;4e-06;0.0;0.623343;0.00553;0.010013;0.01619;0.028853;0.0;0.0;0.0;0.0;0.0;0.0;0.0
333.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1e-05;4e-06;0.0;0.625666;0.005622;0.010166;0.01642;0.029223;0.0;0.0;0.0;0.0;0.0;0.0;0.0
334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2e-05;4e-06;0.0;0.627984;0.005716;0.010321;0.016652;0.029597;0.0;0.0;0.0;0.0;0.0;0.0;0.0
334.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3e-05;5e-06;0.0;0.630297;0.00581;0.010478;0.016887;0.029974;0.0;0.0;0.0;0.0;0.0;0.0;0.0
335.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4e-05;5e-06;0.0;0.632604;0.005906;0.010636;0.017124;0.030354;0.0;0.0;0.0;0.0;0.0;0.0;0.0
335.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5e-05;5e-06;0.0;0.634906;0.006002;0.010797;0.017363;0.030737;0.0;0.0;0.0;0.0;0.0;0.0;0.0
336.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6e-05;5e-06;1e-06;0.637202;0.0061;0.010959;0.017605;0.031124;0.0;0.0;0.0;0.0;0.0;0.0;0.0
336.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8e-05;6e-06;1e-06;0.639493;0.0062;0.011123;0.01785;0.031514;0.0;0.0;0.0;0.0;0.0;0.0;0.0
337.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9e-05;6e-06;1e-06;0.641778;0.0063;0.011289;0.018096;0.031908;0.0;0.0;0.0;0.0;0.0;0.0;0.0
337.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3e-05;7e-06;1e-06;0.644057;0.006402;0.011456;0.018346;0.032305;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2e-05;7e-06;1e-06;0.646331;0.006505;0.011626;0.018597;0.032705;0.0;0.0;0.0;0.0;0.0;0.0;0.0
338.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3e-05;7e-06;1e-06;0.648598;0.006609;0.011797;0.018852;0.033108;0.0;0.0;0.0;0.0;0.0;0.0;0.0
